name, birthday, nationality
Robert Downey Jr.,1965-04-04,American
Scarlett Johansson,1984-11-22,American
Chris Hemsworth,1983-08-11,Australian
Natalie Portman,1981-06-09,Israeli-American
Leonardo DiCaprio,1974-11-11,American
